System Type,Initial Condition,Temperature,initial Sigma,Initial Delta,Initial Beta,Initial 25 Sigma Mean,Initial 25 Sigma Var,Initial 25 delta Mean,Initial 25 delta Var,Initial 25 b Mean,Initial 25 b Var,FInal Sigma,Final Delta,Final beta,Final 100 Sigma Mean,Final 100 Sigma Var,Final 100 delta Mean,Final 100 delta Var,Final 100 b Mean,Final 100 b Var
4-3,Equal Superposition,NA,0.4844986924789582,1.219207042829646,46973.52316659935,0.4844986924789582,0.0,1.219207042829646,0.0,46972.633872556646,1.6538741350284396,0.4844986924789582,1.219207042829646,46971.132845300075,0.4844986924789582,0.0,1.219207042829646,0.0,46972.45547349877,1.536775932184734
4-3,All zeros,NA,0.2653074803227642,0.09911697964458537,-1.0050754265971167,0.26436992658582803,4.697295363982909e-7,0.09911697964458537,0.0,-1.0050754265971167,0.0,0.25483639199995,0.09911697964458537,-1.0050754265971167,0.2658541838934809,4.130559047703593e-5,0.09911697964458537,0.0,-1.0050754265971167,0.0
4-3,Random 2,NA,0.3989167597320154,0.5403928098863438,0.278232442166666,0.40001205468412554,3.6136037580753236e-6,0.5403928098863439,1.198039534479179e-34,0.278232442166666,0.0,0.4106214356178199,0.5403928098863439,0.278232442166666,0.4067716454451999,8.77141604558416e-6,0.5403928098863439,0.0,0.278232442166666,0.0
4-3,Full CTSE,0.001,0.03591289440996527,0.0002707021613412214,477.7862043189943,0.03591289440996527,0.0,0.0002707021613412214,0.0,477.7862043189943,0.0,0.03591289440996527,0.0002707021613412214,477.7862043189943,0.03591289440996527,0.0,0.0002707021613412214,0.0,477.7862043189943,0.0
4-3,Full CTSE,0.001,0.10294970568166222,0.013039602084366038,477.2820600279076,0.10294970568166222,0.0,0.013039602084366038,0.0,477.2820600279076,0.0,0.10294970568166222,0.013039602084366038,477.2820600279076,0.10294970568166222,0.0,0.013039602084366038,0.0,477.2820600279076,0.0
4-3,Full CTSE,0.001,0.031161425631014004,0.0008580628353197015,473.18127215485487,0.031161425631014004,0.0,0.0008580628353197015,0.0,473.18127215485487,0.0,0.031161425631014004,0.0008580628353197015,473.18127215485487,0.031161425631014004,0.0,0.0008580628353197015,0.0,473.18127215485487,0.0
4-3,Full CTSE,0.01,0.4371339853969689,0.07573756484773352,59.30883991124739,0.43713398539696885,4.021278727971422e-36,0.07573756484773352,0.0,59.30883991124739,0.0,0.4371339853969689,0.07573756484773352,59.30883991124739,0.43713398539696896,5.821265119487161e-35,0.07573756484773352,0.0,59.30883991124739,0.0
4-3,Full CTSE,0.01,0.46810140896626046,0.08999021549686105,48.67056579293943,0.46810140896626046,6.012696064827812e-37,0.08999021549686105,0.0,48.67056579293943,0.0,0.46810140896626046,0.08999021549686105,48.67056579293943,0.46810140896626046,6.419963883798681e-37,0.08999021549686105,0.0,48.67056579293943,0.0
4-3,Full CTSE,0.01,0.3002561677875308,0.8266741432499081,51.33432214679952,0.30025616778753084,9.543293575106831e-37,0.8266741432499081,0.0,51.33432214679952,0.0,0.3002561677875308,0.8266741432499081,51.33432214679952,0.3002561677875308,2.6066103491989554e-35,0.8266741432499081,0.0,51.33432214679952,0.0
4-3,Full CTSE,0.1,0.5860273927916503,0.22509541755848897,10.614345466672184,0.5864044039315381,6.188792982630046e-7,0.22509541755848897,0.0,10.614345466672184,0.0,0.5860886322165452,0.22509541755848897,10.614345466672184,0.5865829387639965,4.540903106890746e-7,0.22509541755848897,0.0,10.614345466672184,0.0
4-3,Full CTSE,0.1,0.5788256271486355,0.5592403793148056,8.864321225176313,0.5795650515036564,2.8616726090022814e-7,0.5592403793148056,0.0,8.864321225176313,0.0,0.5759321417025245,0.5592403793148056,8.864321225176313,0.5780066838908896,3.524518007975333e-6,0.5592403793148056,0.0,8.864321225176313,0.0
4-3,Full CTSE,0.1,0.48963051990779083,0.5739212847015048,1.192093964801099,0.48813354136728865,3.4962050248779743e-6,0.5739212847015048,0.0,1.192093964801099,0.0,0.4850683755697104,0.5739212847015048,1.192093964801099,0.48466278617534,7.250912973120816e-6,0.5739212847015048,0.0,1.192093964801099,0.0
4-3,Full CTSE,1.0,0.2463032554406871,0.13452112021637536,1.6760026091916438,0.2566321304933262,4.967801382636719e-5,0.13452112021637536,0.0,1.6760026091916438,0.0,0.2474166141783776,0.13452112021637536,1.6760026091916438,0.24731745778614972,1.7618974373314956e-5,0.13452112021637536,0.0,1.6760026091916438,0.0
4-3,Full CTSE,1.0,0.25479798919749647,0.17431801167787156,-2.4109860698146703,0.26980731442810085,7.854104737398431e-5,0.17431801167787156,0.0,-2.4109860698146703,0.0,0.24372529979886437,0.17431801167787156,-2.4109860698146703,0.24689891033023145,6.107017803854255e-5,0.17431801167787156,0.0,-2.4109860698146703,0.0
4-3,Full CTSE,1.0,0.24375867161783307,0.210008470256877,-2.8957356794109383,0.24362795691976938,2.1272560727671992e-7,0.210008470256877,0.0,-2.8957356794109383,0.0,0.24652298430460948,0.210008470256877,-2.8957356794109383,0.25108713768615537,4.373843912330435e-5,0.210008470256877,0.0,-2.8957356794109383,0.0
4-3,Full CTSE,10.0,0.23629906898871716,0.12864946289061424,1.9330811517423183,0.2362824393880516,1.0787249023559339e-7,0.12864946289061424,0.0,1.9330811517423183,0.0,0.22503223920690552,0.12864946289061424,1.9330811517423183,0.23331187441107085,3.886704372346302e-5,0.12864946289061424,0.0,1.9330811517423183,0.0
4-3,Full CTSE,10.0,0.23491788306307895,0.08588275880366916,0.6027875358845078,0.257079847556267,9.675504183807882e-5,0.08588275880366916,0.0,0.6027875358845078,0.0,0.23704336936537734,0.08588275880366916,0.6027875358845078,0.23944644438582982,0.00022503620523216578,0.08588275880366916,0.0,0.6027875358845078,0.0
4-3,Full CTSE,10.0,0.23735040420624876,0.21028447467653416,-2.8177385122597802,0.24882031817952815,4.0761132294425074e-5,0.21028447467653416,0.0,-2.8177385122597802,0.0,0.22174091547730124,0.21028447467653416,-2.8177385122597802,0.2385209858287131,5.499009291746667e-5,0.21028447467653416,0.0,-2.8177385122597802,0.0
